algorithm,round,mean_changed_bits,std_changed_bits,avalanche_percent,ideal_avalanche_percent,deviation_from_50_percent,samples
Haraka-style-256,4,127.08,10.349137474429764,49.640625,50.0,0.359375,100
Haraka-style-256,5,128.32,11.778151318642857,50.125,50.0,0.125,100
Haraka-style-512,1,128.48,12.719570540999989,25.093749999999996,50.0,24.906250000000004,100
Haraka-style-512,2,192.76,10.650669822915726,37.6484375,50.0,12.3515625,100
Haraka-style-512,3,256.36,11.453480790668932,50.0703125,50.0,0.0703125,100
Haraka-style-512,4,255.38,11.998973020027735,49.87890625,50.0,0.12109375,100
Haraka-style-512,5,254.44,11.394061894892728,49.6953125,50.0,0.3046875,100
GBS-photonic,1,244.16,166.9315906579577,15.26,50.0,34.74,100
GBS-photonic,2,717.11,157.43819662831427,44.819375,50.0,5.180624999999999,100
GBS-photonic,3,797.67,22.296013594860906,49.854375,50.0,0.14562500000000256,100
GBS-photonic,4,803.68,19.926065361934373,50.23,50.0,0.22999999999999687,100
GBS-photonic,5,802.56,16.872857888731634,50.16,50.0,0.1599999999999966,100
GBS-photonic,6,797.61,18.82771168444873,49.850625,50.0,0.14937499999999915,100
GBS-photonic,7,801.13,19.72469866369921,50.070625,50.0,0.07062499999999972,100
GBS-photonic,8,800.81,21.051017874092302,50.050625,50.0,0.05062499999999659,100
